"filename", "language", "Go", "Go Module File", "Markdown", "JSON", "Go Checksum File", "comment", "blank", "total"
"e:\ai-text-helper-server\README.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 17
"e:\ai-text-helper-server\ai_request\wenxin.go", "Go", 129, 0, 0, 0, 0, 4, 7, 140
"e:\ai-text-helper-server\eventHandler\ai_api.go", "Go", 104, 0, 0, 0, 0, 3, 5, 112
"e:\ai-text-helper-server\eventHandler\login_handler.go", "Go", 50, 0, 0, 0, 0, 4, 5, 59
"e:\ai-text-helper-server\eventHandler\register_handler.go", "Go", 44, 0, 0, 0, 0, 2, 3, 49
"e:\ai-text-helper-server\eventHandler\user_info_handler.go", "Go", 32, 0, 0, 0, 0, 1, 4, 37
"e:\ai-text-helper-server\go.mod", "Go Module File", 0, 40, 0, 0, 0, 0, 5, 45
"e:\ai-text-helper-server\go.sum", "Go Checksum File", 0, 0, 0, 0, 111, 0, 1, 112
"e:\ai-text-helper-server\main.go", "Go", 27, 0, 0, 0, 0, 7, 5, 39
"e:\ai-text-helper-server\middleware\api_request_numbers.go", "Go", 29, 0, 0, 0, 0, 0, 3, 32
"e:\ai-text-helper-server\middleware\jwt.go", "Go", 40, 0, 0, 0, 0, 2, 3, 45
"e:\ai-text-helper-server\mysql\mysql.go", "Go", 221, 0, 0, 0, 0, 21, 20, 262
"e:\ai-text-helper-server\redis\redis.go", "Go", 59, 0, 0, 0, 0, 1, 5, 65
"e:\ai-text-helper-server\routers\ai.go", "Go", 15, 0, 0, 0, 0, 0, 3, 18
"e:\ai-text-helper-server\routers\init.go", "Go", 7, 0, 0, 0, 0, 0, 3, 10
"e:\ai-text-helper-server\routers\login.go", "Go", 10, 0, 0, 0, 0, 0, 3, 13
"e:\ai-text-helper-server\routers\user.go", "Go", 14, 0, 0, 0, 0, 0, 5, 19
"e:\ai-text-helper-server\userInfo\example.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"e:\ai-text-helper-server\utils\get_env_key.go", "Go", 60, 0, 0, 0, 0, 5, 3, 68
"e:\ai-text-helper-server\utils\jwt.go", "Go", 53, 0, 0, 0, 0, 0, 6, 59
"e:\ai-text-helper-server\utils\md5v.go", "Go", 22, 0, 0, 0, 0, 0, 4, 26
"e:\ai-text-helper-server\utils\set_env_key.go", "Go", 13, 0, 0, 0, 0, 0, 3, 16
"e:\ai-text-helper-server\utils\verification.go", "Go", 3, 0, 0, 0, 0, 1, 2, 6
"e:\ai-text-helper-server\utils\write_json.go", "Go", 36, 0, 0, 0, 0, 3, 9, 48
"Total", "-", 968, 40, 17, 1, 111, 54, 107, 1298
